panel,t_us,skill,r2_input
a,0.3,0.6223,
a,0.4,0.6402,
a,0.5,0.6434,
a,0.6,0.5644,
a,0.7,-0.0859,
a,0.8,0.5857,
a,0.9,0.2410,
a,1.0,0.3006,
a,1.1,0.3424,
a,1.2,0.0932,
a,1.3,0.1029,
a,1.4,0.3626,
a,1.5,-0.2013,
a,1.6,-0.0874,
a,1.7,-0.2246,
a,1.8,-0.5397,
a,1.9,-0.2793,
a,2.0,-0.1372,
a,2.1,-0.1385,
a,2.2,-0.3663,
a,2.3,0.2431,
a,2.4,-0.0267,
a,2.5,-0.1368,
a,2.6,-0.4368,
a,2.7,-0.1292,
a,2.8,-0.1779,
a,2.9,-0.4112,
b,0.5,0.6434,0.9035
b,0.6,0.5644,0.7214
b,0.65,0.3597,0.4268
b,0.7,-0.0859,-0.3513
b,0.75,0.0644,-0.2365
b,0.8,0.5857,0.2090
b,0.85,0.0549,0.0767
b,0.9,0.2410,0.3743
b,1.0,0.3006,-0.2868
