experimento,config,total_time,skill_qrc,ci_lo,ci_hi,mejor_clasico,clasico,robusto,gap
Verificacion (fijo a=1e-4),8at ts2 Z,1.0,0.561,0.476,0.638,0.706,lineal CV,False,-0.1449999999999999
Verificacion (fijo a=1e-4),8at ts2 Z,1.5,-0.597,-1.118,-0.169,0.706,lineal CV,False,-1.303
Verificacion (fijo a=1e-4),8at ts2 Z,2.0,0.496,0.342,0.612,0.706,lineal CV,False,-0.20999999999999996
Verificacion (fijo a=1e-4),8at ts2 Z,2.5,-0.288,-0.584,-0.049,0.706,lineal CV,False,-0.994
Verificacion (fijo a=1e-4),8at ts2 Z,3.0,-0.639,-0.999,-0.32,0.706,lineal CV,False,-1.345
B1 readout RidgeCV,8at ts2 Z,1.0,0.691,0.63,0.744,0.73,RFF72,False,-0.039000000000000035
B1 readout RidgeCV,8at ts2 Z,1.5,-0.035,-0.28,0.177,0.73,RFF72,False,-0.765
B1 readout RidgeCV,8at ts2 Z,2.0,0.665,0.558,0.747,0.73,RFF72,False,-0.06499999999999995
B1 readout RidgeCV,8at ts2 Z,2.5,0.097,-0.113,0.275,0.73,RFF72,False,-0.633
B1 readout RidgeCV,8at ts2 Z,3.0,0.084,-0.021,0.178,0.73,RFF72,False,-0.646
B4 ts=3,8at ts3 Z,1.0,0.58,0.483,0.659,0.73,RFF72,False,-0.15000000000000002
B4 ts=3,8at ts3 Z,1.5,0.715,0.67,0.753,0.73,RFF72,False,-0.015000000000000013
B4 ts=3,8at ts3 Z,2.0,0.652,0.572,0.719,0.73,RFF72,False,-0.07799999999999996
B4 ts=3,8at ts3 Z,2.5,0.433,0.281,0.559,0.73,RFF72,False,-0.297
B4 ts=3,8at ts3 Z,3.0,0.733,0.685,0.771,0.73,RFF72,False,0.0030000000000000027
B4 ts=5 (6 semillas),8at ts5 Z,1.5,0.748,0.72,0.774,0.73,RFF72,False,0.018000000000000016
B2 12 atomos,12at ts2 Z,1.0,0.7,0.633,0.755,0.76,lineal CV 12d,False,-0.06000000000000005
B2 12 atomos,12at ts2 Z,2.0,0.592,0.494,0.672,0.76,lineal CV 12d,False,-0.16800000000000004
B2 16 atomos,16at ts2 Z,2.0,0.798,0.744,0.841,0.843,lineal CV 16d,False,-0.04499999999999993
B5 espaciado 8.5um,8at V=14.4,2.0,0.334,0.188,0.457,0.73,RFF72,False,-0.39599999999999996
B5 espaciado 12um,8at V=1.8,2.0,0.616,0.527,0.695,0.73,RFF72,False,-0.11399999999999999
B3 ZZ n_tr=178 (seg. tardio),8at ts2 ZZ,2.0,0.948,0.935,0.958,0.972,RFF72,False,-0.02400000000000002
